firm_id,active,purge,member_status_id,member_status,member_cat_id,member_cat,application_signed,bbb_rr_url,bbir_status_id,bbir_status,business_type_id,business_type,do_not_mail,number_of_employees,number_of_locations,scope_id,scope_text,date_application_signed,date_established,state_established,date_incorporated,state_incorporated,date_joined_bbb,date_license_checked,date_standards_returned,date_file_opened,mip_status,mip_status-2,mip_date_start,mip_date_delete,outofbusiness_status,outofbusiness_status-2,outofbusiness_date,outofbusiness_status_change,deleted_date,lastupdate,termination_pending,termination_date,termination_active,hq,date_business_start,number_of_customers,annual_revenue,modifiedon,modifiedby,parent_id,date_expire,number_of_parttime,hq_type_id,deleted_pending,deleted_pending_date,date_newowner,rating_pattern,rating_pattern_date,branch_id,createdon,createdby,ischarity,number_of_seasonal,naics,public_company,establishment_type_id,tax_exempt
159,False,False,19,Twin Cities Metro,1,Not Accredited,False,,,,0.0,,True,55,1,0.0,,,1946-01-01 00:00:00,MN,,,1970-04-09 00:00:00,,,1970-04-01 00:00:00,2,No,2008-01-01 00:00:00,2016-02-10 00:00:00,1.0,Confirmed to be Out of Business,2017-03-03 00:00:00,2019-04-18 15:37:15.953,2016-02-10 00:00:00,2002-05-30 00:00:00,False,,False,False,1946-01-01 00:00:00,0.0,200000.0,2020-03-08 19:38:18.263,4873.0,,,0.0,,False,,,False,,,,,False,0.0,611310.0,False,0.0,
115,True,False,19,Twin Cities Metro,1,Not Accredited,False,,,,1.0,Corporation,True,60,1,0.0,,,1898-01-01 00:00:00,MN,,,2000-11-21 00:00:00,,,1980-07-01 00:00:00,2,No,,,2.0,Believed to be Out of Business,2023-03-03 00:00:00,2023-03-03 12:59:04.343,2006-01-31 00:00:00,2013-09-21 00:00:00,False,,False,False,1898-01-01 00:00:00,0.0,12600000.0,2023-03-03 12:59:04.35,4897.0,,,0.0,,False,,,False,,,,,False,0.0,561920.0,False,,
116,True,False,19,Twin Cities Metro,1,Not Accredited,False,,,,0.0,,False,130,2,0.0,,,1912-01-01 00:00:00,MN,,,1978-08-16 00:00:00,,,1978-08-01 00:00:00,2,No,,,,,,,2002-07-11 00:00:00,2013-09-21 00:00:00,False,,False,False,1912-01-01 00:00:00,0.0,28400000.0,2020-12-16 09:32:37.637,9762.0,,,0.0,,False,,,False,,,,,False,0.0,238150.0,False,,
120,True,False,19,Twin Cities Metro,1,Not Accredited,False,,,,1.0,Corporation,True,2,1,0.0,,,1973-06-06 00:00:00,MN,1973-06-06 00:00:00,MN,2020-01-07 00:00:00,,,1972-08-01 00:00:00,2,No,,,0.0,,2018-10-01 00:00:00,2019-06-12 09:16:18.87,2023-01-20 00:00:00,2021-03-04 20:57:22.297,False,,False,False,1973-06-06 00:00:00,1.0,1000000.0,2023-01-20 11:47:43.993,4880.0,,,,,False,,,False,,,,,False,,448310.0,False,0.0,
125,True,False,19,Twin Cities Metro,1,Not Accredited,False,,4.0,BP Sent,0.0,,False,1,1,0.0,,,1957-07-01 00:00:00,MN,,,,,,1975-10-01 00:00:00,2,No,,,,,,,,2001-06-22 00:00:00,False,,False,False,1957-07-01 00:00:00,0.0,6000000.0,2021-01-20 12:24:15.573,9762.0,,,0.0,,False,,,False,,,,,False,0.0,423840.0,False,,
132,False,False,19,Twin Cities Metro,1,Not Accredited,False,,,,1.0,Corporation,True,3,1,0.0,,2008-02-15 00:00:00,1976-10-01 00:00:00,MN,1976-10-01 00:00:00,MN,2008-02-14 00:00:00,,,1980-10-01 00:00:00,2,No,2008-02-14 00:00:00,2012-02-28 00:00:00,1.0,Confirmed to be Out of Business,2016-03-01 01:00:26,2016-03-01 01:00:26,2012-02-28 00:00:00,2008-02-15 00:00:00,False,,False,False,1976-10-01 00:00:00,1.0,450000.0,2019-03-03 09:22:51.607,5093.0,,,0.0,,False,,,False,,,,,False,0.0,236118.0,False,0.0,
133,True,False,19,Twin Cities Metro,3,Accredited Business,False,,1.0,Returned,1.0,Corporation,False,1,1,,,2013-05-03 00:00:00,1977-02-16 00:00:00,AE,1977-02-16 00:00:00,MN,2013-04-29 00:00:00,,,1977-04-01 00:00:00,2,No,,,,,,,,2013-04-25 00:00:00,False,,False,False,1977-02-16 00:00:00,1.0,450000.0,2021-02-25 10:45:04.593,,,,,,False,,,False,,,,,False,,442110.0,False,,
135,True,False,19,Twin Cities Metro,3,Accredited Business,False,,1.0,Returned,17.0,Assumed Name,False,90,1,0.0,,,1982-01-01 00:00:00,MN,,,1978-10-31 00:00:00,,,1982-01-01 00:00:00,2,No,,,,,,,,2010-10-06 00:00:00,False,,False,False,1982-01-01 00:00:00,500.0,20200000.0,2022-01-31 17:04:36.207,,519.0,,0.0,,False,,,False,,,,,False,0.0,441110.0,False,0.0,
136,True,False,19,Twin Cities Metro,1,Not Accredited,False,,1.0,Returned,1.0,Corporation,False,48,1,0.0,,,1919-01-01 00:00:00,MN,1900-01-01 00:00:00,MN,1974-12-03 00:00:00,,,1974-12-01 00:00:00,2,No,,,,,,,2023-06-01 00:00:00,2016-03-02 00:00:00,False,,False,False,1919-01-01 00:00:00,500.0,1500000.0,2019-04-09 15:41:25.867,,,,0.0,,False,,,False,,,,,False,0.0,484210.0,False,,
141,False,False,19,Twin Cities Metro,1,Not Accredited,False,,4.0,BP Sent,0.0,,True,8,1,0.0,,,1928-01-01 00:00:00,MN,,,1992-07-28 00:00:00,,,1983-03-01 00:00:00,2,No,,,1.0,Confirmed to be Out of Business,2016-05-05 00:00:00,2016-08-09 15:11:31.7,2002-11-11 00:00:00,2013-09-21 00:00:00,False,,False,False,1928-01-01 00:00:00,0.0,660000.0,2019-05-05 09:30:15.61,7860.0,,,0.0,,False,,,False,,,,,False,0.0,448310.0,False,0.0,
